       MaxNparticles                Npore               Ngauge              Chempot            Time(min) 
                  10                    3                    7              -16.322                0.017
                  10                    4                    6              -16.532                0.017
                  10                    5                    5              -16.368                0.017
                  10                    6                    4              -16.277                0.017
                  10                    7                    3              -16.148                0.017
                  10                    8                    2              -16.046                0.017
                  10                    9                    1              -15.971                0.017
